sensor_id,timestamp,feature,noise_type,ground_truth_value,noisy_value,noise_magnitude,is_corrupted
S001,2026-06-01 04:40:00,temperature,NORMAL,16.628,16.628,0.0,False
S001,2026-06-01 04:45:00,temperature,NORMAL,16.688,16.688,0.0,False
S001,2026-06-01 04:50:00,temperature,NORMAL,16.75,16.75,0.0,False
S001,2026-06-01 04:55:00,temperature,NORMAL,16.814,16.814,0.0,False
S001,2026-06-01 05:00:00,temperature,NORMAL,16.882,16.882,0.0,False
S001,2026-06-01 05:05:00,temperature,NORMAL,16.952,16.952,0.0,False
S001,2026-06-01 05:10:00,temperature,NORMAL,17.025,17.025,0.0,False
S001,2026-06-01 05:15:00,temperature,NORMAL,17.1,17.1,0.0,False
S001,2026-06-01 05:20:00,temperature,NORMAL,17.178,17.178,0.0,False
S001,2026-06-01 05:25:00,temperature,SPIKE,17.259,41.456,24.197,True
S001,2026-06-01 05:30:00,temperature,NORMAL,17.342,17.342,0.0,False
S001,2026-06-01 05:35:00,temperature,NORMAL,17.428,17.428,0.0,False
S001,2026-06-01 05:40:00,temperature,GAUSSIAN_NOISE,17.516,18.803,1.287,True
S001,2026-06-01 05:45:00,temperature,NORMAL,17.607,17.607,0.0,False
S001,2026-06-01 05:50:00,temperature,NORMAL,17.7,17.7,0.0,False
S001,2026-06-01 05:55:00,temperature,NORMAL,17.796,17.796,0.0,False
S001,2026-06-01 06:00:00,temperature,NORMAL,17.894,17.894,0.0,False
S001,2026-06-01 06:05:00,temperature,NORMAL,17.995,17.995,0.0,False
S001,2026-06-01 06:10:00,temperature,NORMAL,18.097,18.097,0.0,False
S001,2026-06-01 06:15:00,temperature,NORMAL,18.202,18.202,0.0,False
S001,2026-06-01 06:20:00,temperature,NORMAL,18.31,18.31,0.0,False
S001,2026-06-01 06:25:00,temperature,NORMAL,18.419,18.419,0.0,False
S001,2026-06-01 06:30:00,temperature,NORMAL,18.531,18.531,0.0,False
S001,2026-06-01 06:35:00,temperature,NORMAL,18.645,18.645,0.0,False
S001,2026-06-01 06:40:00,temperature,NORMAL,18.761,18.761,0.0,False
S001,2026-06-01 06:45:00,temperature,NORMAL,18.878,18.878,0.0,False
S001,2026-06-01 06:50:00,temperature,NORMAL,18.998,18.998,0.0,False
S001,2026-06-01 06:55:00,temperature,NORMAL,19.12,19.12,0.0,False
S001,2026-06-01 07:00:00,temperature,GAUSSIAN_NOISE,19.244,20.907,1.663,True
S001,2026-06-01 07:05:00,temperature,NORMAL,19.37,19.37,0.0,False
S001,2026-06-01 07:10:00,temperature,NORMAL,19.497,19.497,0.0,False
S001,2026-06-01 07:15:00,temperature,NORMAL,19.626,19.626,0.0,False
S001,2026-06-01 07:20:00,temperature,NORMAL,19.757,19.757,0.0,False
S001,2026-06-01 07:25:00,temperature,NORMAL,19.89,19.89,0.0,False
S001,2026-06-01 07:30:00,temperature,NORMAL,20.024,20.024,0.0,False
S001,2026-06-01 07:35:00,temperature,NORMAL,20.159,20.159,0.0,False
S001,2026-06-01 07:40:00,temperature,NORMAL,20.297,20.297,0.0,False
S001,2026-06-01 07:45:00,temperature,NORMAL,20.435,20.435,0.0,False
S001,2026-06-01 07:50:00,temperature,NORMAL,20.575,20.575,0.0,False
S001,2026-06-01 07:55:00,temperature,NORMAL,20.717,20.717,0.0,False
S001,2026-06-01 08:00:00,temperature,SPIKE,20.859,41.115,20.256,True
S001,2026-06-01 08:05:00,temperature,NORMAL,21.003,21.003,0.0,False
S001,2026-06-01 08:10:00,temperature,NORMAL,21.148,21.148,0.0,False
S001,2026-06-01 08:15:00,temperature,NORMAL,21.294,21.294,0.0,False
S001,2026-06-01 08:20:00,temperature,NORMAL,21.441,21.441,0.0,False
S001,2026-06-01 08:25:00,temperature,NORMAL,21.588,21.588,0.0,False
S001,2026-06-01 08:30:00,temperature,NORMAL,21.737,21.737,0.0,False
S001,2026-06-01 08:35:00,temperature,NORMAL,21.887,21.887,0.0,False
S001,2026-06-01 08:40:00,temperature,NORMAL,22.037,22.037,0.0,False
S001,2026-06-01 08:45:00,temperature,NORMAL,22.188,22.188,0.0,False
S001,2026-06-01 08:50:00,temperature,NORMAL,22.339,22.339,0.0,False
S001,2026-06-01 08:55:00,temperature,NORMAL,22.491,22.491,0.0,False
S001,2026-06-01 09:00:00,temperature,NORMAL,22.644,22.644,0.0,False
S001,2026-06-01 09:05:00,temperature,NORMAL,22.797,22.797,0.0,False
S001,2026-06-01 09:10:00,temperature,NORMAL,22.95,22.95,0.0,False
S001,2026-06-01 09:15:00,temperature,NORMAL,23.104,23.104,0.0,False
S001,2026-06-01 09:20:00,temperature,NORMAL,23.257,23.257,0.0,False
S001,2026-06-01 09:25:00,temperature,NORMAL,23.411,23.411,0.0,False
S001,2026-06-01 09:30:00,temperature,NORMAL,23.564,23.564,0.0,False
S001,2026-06-01 09:35:00,temperature,NORMAL,23.718,23.718,0.0,False
S001,2026-06-01 09:40:00,temperature,NORMAL,23.872,23.872,0.0,False
S001,2026-06-01 09:45:00,temperature,NORMAL,24.025,24.025,0.0,False
S001,2026-06-01 09:50:00,temperature,NORMAL,24.178,24.178,0.0,False
S001,2026-06-01 09:55:00,temperature,NORMAL,24.33,24.33,0.0,False
S001,2026-06-01 10:00:00,temperature,NORMAL,24.483,24.483,0.0,False
S001,2026-06-01 10:05:00,temperature,NORMAL,24.634,24.634,0.0,False
S001,2026-06-01 10:10:00,temperature,NORMAL,24.785,24.785,0.0,False
S001,2026-06-01 10:15:00,temperature,NORMAL,24.935,24.935,0.0,False
S001,2026-06-01 10:20:00,temperature,GAUSSIAN_NOISE,25.085,24.786,-0.299,True
S001,2026-06-01 10:25:00,temperature,NORMAL,25.234,25.234,0.0,False
S001,2026-06-01 10:30:00,temperature,NORMAL,25.381,25.381,0.0,False
S001,2026-06-01 10:35:00,temperature,NORMAL,25.528,25.528,0.0,False
S001,2026-06-01 10:40:00,temperature,NORMAL,25.674,25.674,0.0,False
S001,2026-06-01 10:45:00,temperature,NORMAL,25.818,25.818,0.0,False
S001,2026-06-01 10:50:00,temperature,NORMAL,25.962,25.962,0.0,False
S001,2026-06-01 10:55:00,temperature,SPIKE,26.103,55.232,29.129,True
S001,2026-06-01 11:00:00,temperature,NORMAL,26.244,26.244,0.0,False
S001,2026-06-01 11:05:00,temperature,NORMAL,26.383,26.383,0.0,False
S001,2026-06-01 11:10:00,temperature,NORMAL,26.521,26.521,0.0,False
S001,2026-06-01 11:15:00,temperature,GAUSSIAN_NOISE,26.656,25.03,-1.626,True
S001,2026-06-01 11:20:00,temperature,NORMAL,26.791,26.791,0.0,False
S001,2026-06-01 11:25:00,temperature,NORMAL,26.923,26.923,0.0,False
S001,2026-06-01 11:30:00,temperature,NORMAL,27.054,27.054,0.0,False
S001,2026-06-01 11:35:00,temperature,NORMAL,27.182,27.182,0.0,False
S001,2026-06-01 11:40:00,temperature,NORMAL,27.309,27.309,0.0,False
S001,2026-06-01 11:45:00,temperature,NORMAL,27.433,27.433,0.0,False
S001,2026-06-01 11:50:00,temperature,NORMAL,27.556,27.556,0.0,False
S001,2026-06-01 11:55:00,temperature,NORMAL,27.676,27.676,0.0,False
S001,2026-06-01 12:00:00,temperature,NORMAL,27.794,27.794,0.0,False
S001,2026-06-01 12:05:00,temperature,NORMAL,27.909,27.909,0.0,False
S001,2026-06-01 12:10:00,temperature,NORMAL,28.022,28.022,0.0,False
S001,2026-06-01 12:15:00,temperature,NORMAL,28.133,28.133,0.0,False
S001,2026-06-01 12:20:00,temperature,NORMAL,28.241,28.241,0.0,False
S001,2026-06-01 12:25:00,temperature,GAUSSIAN_NOISE,28.346,27.696,-0.65,True
S001,2026-06-01 12:30:00,temperature,NORMAL,28.449,28.449,0.0,False
S001,2026-06-01 12:35:00,temperature,SPIKE,28.549,52.352,23.803,True
S001,2026-06-01 12:40:00,temperature,NORMAL,28.646,28.646,0.0,False
S001,2026-06-01 12:45:00,temperature,NORMAL,28.741,28.741,0.0,False
S001,2026-06-01 12:50:00,temperature,NORMAL,28.832,28.832,0.0,False
S001,2026-06-01 12:55:00,temperature,NORMAL,28.921,28.921,0.0,False
S001,2026-06-01 13:00:00,temperature,NORMAL,29.006,29.006,0.0,False
S001,2026-06-01 13:05:00,temperature,NORMAL,29.089,29.089,0.0,False
S001,2026-06-01 13:10:00,temperature,NORMAL,29.168,29.168,0.0,False
S001,2026-06-01 13:15:00,temperature,NORMAL,29.244,29.244,0.0,False
S001,2026-06-01 13:20:00,temperature,NORMAL,29.317,29.317,0.0,False
S001,2026-06-01 13:25:00,temperature,NORMAL,29.386,29.386,0.0,False
S001,2026-06-01 13:30:00,temperature,NORMAL,29.453,29.453,0.0,False
S001,2026-06-01 13:35:00,temperature,GAUSSIAN_NOISE,29.516,28.782,-0.734,True
S001,2026-06-01 13:40:00,temperature,NORMAL,29.575,29.575,0.0,False
S001,2026-06-01 13:45:00,temperature,NORMAL,29.631,29.631,0.0,False
S001,2026-06-01 13:50:00,temperature,NORMAL,29.684,29.684,0.0,False
S001,2026-06-01 13:55:00,temperature,NORMAL,29.733,29.733,0.0,False
S001,2026-06-01 14:00:00,temperature,NORMAL,29.779,29.779,0.0,False
S001,2026-06-01 14:05:00,temperature,NORMAL,29.821,29.821,0.0,False
S001,2026-06-01 14:10:00,temperature,NORMAL,29.859,29.859,0.0,False
S001,2026-06-01 14:15:00,temperature,NORMAL,29.894,29.894,0.0,False
S001,2026-06-01 14:20:00,temperature,NORMAL,29.926,29.926,0.0,False
S001,2026-06-01 14:25:00,temperature,NORMAL,29.953,29.953,0.0,False
S001,2026-06-01 14:30:00,temperature,NORMAL,29.977,29.977,0.0,False
S001,2026-06-01 14:35:00,temperature,GAUSSIAN_NOISE,29.998,32.438,2.44,True
S001,2026-06-01 14:40:00,temperature,NORMAL,30.014,30.014,0.0,False
S001,2026-06-01 14:45:00,temperature,NORMAL,30.027,30.027,0.0,False
S001,2026-06-01 14:50:00,temperature,NORMAL,30.037,30.037,0.0,False
S001,2026-06-01 14:55:00,temperature,OUTLIER,30.042,83.503,53.461,True
S001,2026-06-01 15:00:00,temperature,MISSING,30.044,,,True
S001,2026-06-01 15:05:00,temperature,NORMAL,30.042,30.042,0.0,False
S001,2026-06-01 15:10:00,temperature,NORMAL,30.037,30.037,0.0,False
S001,2026-06-01 15:15:00,temperature,NORMAL,30.027,30.027,0.0,False
S001,2026-06-01 15:20:00,temperature,NORMAL,30.014,30.014,0.0,False
S001,2026-06-01 15:25:00,temperature,NORMAL,29.998,29.998,0.0,False
S001,2026-06-01 15:30:00,temperature,NORMAL,29.977,29.977,0.0,False
S001,2026-06-01 15:35:00,temperature,NORMAL,29.953,29.953,0.0,False
S001,2026-06-01 15:40:00,temperature,NORMAL,29.926,29.926,0.0,False
S001,2026-06-01 15:45:00,temperature,NORMAL,29.894,29.894,0.0,False
S001,2026-06-01 15:50:00,temperature,NORMAL,29.859,29.859,0.0,False
S001,2026-06-01 15:55:00,temperature,NORMAL,29.821,29.821,0.0,False
S001,2026-06-01 16:00:00,temperature,NORMAL,29.779,29.779,0.0,False
S001,2026-06-01 16:05:00,temperature,NORMAL,29.733,29.733,0.0,False
S001,2026-06-01 16:10:00,temperature,NORMAL,29.684,29.684,0.0,False
S001,2026-06-01 16:15:00,temperature,NORMAL,29.631,29.631,0.0,False
S001,2026-06-01 16:20:00,temperature,NORMAL,29.575,29.575,0.0,False
S001,2026-06-01 16:25:00,temperature,NORMAL,29.516,29.516,0.0,False
S001,2026-06-01 16:30:00,temperature,NORMAL,29.453,29.453,0.0,False
S001,2026-06-01 16:35:00,temperature,NORMAL,29.386,29.386,0.0,False
S001,2026-06-01 16:40:00,temperature,NORMAL,29.317,29.317,0.0,False
S001,2026-06-01 16:45:00,temperature,NORMAL,29.244,29.244,0.0,False
S001,2026-06-01 16:50:00,temperature,NORMAL,29.168,29.168,0.0,False
S001,2026-06-01 16:55:00,temperature,NORMAL,29.089,29.089,0.0,False
S001,2026-06-01 17:00:00,temperature,GAUSSIAN_NOISE,29.006,27.952,-1.054,True
S001,2026-06-01 17:05:00,temperature,NORMAL,28.921,28.921,0.0,False
S001,2026-06-01 17:10:00,temperature,NORMAL,28.832,28.832,0.0,False
S001,2026-06-01 17:15:00,temperature,NORMAL,28.741,28.741,0.0,False
S001,2026-06-01 17:20:00,temperature,NORMAL,28.646,28.646,0.0,False
S001,2026-06-01 17:25:00,temperature,NORMAL,28.549,28.549,0.0,False
S001,2026-06-01 17:30:00,temperature,NORMAL,28.449,28.449,0.0,False
S001,2026-06-01 17:35:00,temperature,NORMAL,28.346,28.346,0.0,False
S001,2026-06-01 17:40:00,temperature,NORMAL,28.241,28.241,0.0,False
S001,2026-06-01 17:45:00,temperature,SPIKE,28.133,50.274,22.141,True
S001,2026-06-01 17:50:00,temperature,NORMAL,28.022,28.022,0.0,False
S001,2026-06-01 17:55:00,temperature,NORMAL,27.909,27.909,0.0,False
S001,2026-06-01 18:00:00,temperature,SPIKE,27.794,47.502,19.708,True
S001,2026-06-01 18:05:00,temperature,NORMAL,27.676,27.676,0.0,False
S001,2026-06-01 18:10:00,temperature,NORMAL,27.556,27.556,0.0,False
S001,2026-06-01 18:15:00,temperature,NORMAL,27.433,27.433,0.0,False
S001,2026-06-01 18:20:00,temperature,NORMAL,27.309,27.309,0.0,False
S001,2026-06-01 18:25:00,temperature,NORMAL,27.182,27.182,0.0,False
S001,2026-06-01 18:30:00,temperature,NORMAL,27.054,27.054,0.0,False
S001,2026-06-01 18:35:00,temperature,NORMAL,26.923,26.923,0.0,False
S001,2026-06-01 18:40:00,temperature,NORMAL,26.791,26.791,0.0,False
S001,2026-06-01 18:45:00,temperature,NORMAL,26.656,26.656,0.0,False
S001,2026-06-01 18:50:00,temperature,GAUSSIAN_NOISE,26.521,24.732,-1.789,True
S001,2026-06-01 18:55:00,temperature,NORMAL,26.383,26.383,0.0,False
S001,2026-06-01 19:00:00,temperature,NORMAL,26.244,26.244,0.0,False
S001,2026-06-01 19:05:00,temperature,NORMAL,26.103,26.103,0.0,False
S001,2026-06-01 19:10:00,temperature,MISSING,25.962,,,True
S001,2026-06-01 19:15:00,temperature,NORMAL,25.818,25.818,0.0,False
S001,2026-06-01 19:20:00,temperature,NORMAL,25.674,25.674,0.0,False
S001,2026-06-01 19:25:00,temperature,NORMAL,25.528,25.528,0.0,False
S001,2026-06-01 19:30:00,temperature,NORMAL,25.381,25.381,0.0,False
S001,2026-06-01 19:35:00,temperature,NORMAL,25.234,25.234,0.0,False
S001,2026-06-01 19:40:00,temperature,NORMAL,25.085,25.085,0.0,False
S001,2026-06-01 19:45:00,temperature,NORMAL,24.935,24.935,0.0,False
S001,2026-06-01 19:50:00,temperature,GAUSSIAN_NOISE,24.785,21.903,-2.882,True
S001,2026-06-01 19:55:00,temperature,NORMAL,24.634,24.634,0.0,False
S001,2026-06-01 20:00:00,temperature,NORMAL,24.483,24.483,0.0,False
S001,2026-06-01 20:05:00,temperature,NORMAL,24.33,24.33,0.0,False
S001,2026-06-01 20:10:00,temperature,NORMAL,24.178,24.178,0.0,False
S001,2026-06-01 20:15:00,temperature,NORMAL,24.025,24.025,0.0,False
S001,2026-06-01 20:20:00,temperature,NORMAL,23.872,23.872,0.0,False
S001,2026-06-01 20:25:00,temperature,NORMAL,23.718,23.718,0.0,False
S001,2026-06-01 20:30:00,temperature,NORMAL,23.564,23.564,0.0,False
S001,2026-06-01 20:35:00,temperature,NORMAL,23.411,23.411,0.0,False
S001,2026-06-01 20:40:00,temperature,NORMAL,23.257,23.257,0.0,False
S001,2026-06-01 20:45:00,temperature,NORMAL,23.104,23.104,0.0,False
S001,2026-06-01 20:50:00,temperature,NORMAL,22.95,22.95,0.0,False
S001,2026-06-01 20:55:00,temperature,NORMAL,22.797,22.797,0.0,False
S001,2026-06-01 21:00:00,temperature,NORMAL,22.644,22.644,0.0,False
S001,2026-06-01 21:05:00,temperature,NORMAL,22.491,22.491,0.0,False
S001,2026-06-01 21:10:00,temperature,NORMAL,22.339,22.339,0.0,False
S001,2026-06-01 21:15:00,temperature,NORMAL,22.188,22.188,0.0,False
S001,2026-06-01 21:20:00,temperature,NORMAL,22.037,22.037,0.0,False
S001,2026-06-01 21:25:00,temperature,NORMAL,21.887,21.887,0.0,False
S001,2026-06-01 21:30:00,temperature,NORMAL,21.737,21.737,0.0,False
S001,2026-06-01 21:35:00,temperature,NORMAL,21.588,21.588,0.0,False
S001,2026-06-01 21:40:00,temperature,NORMAL,21.441,21.441,0.0,False
S001,2026-06-01 21:45:00,temperature,NORMAL,21.294,21.294,0.0,False
S001,2026-06-01 21:50:00,temperature,MISSING,21.148,,,True
S001,2026-06-01 21:55:00,temperature,NORMAL,21.003,21.003,0.0,False
S001,2026-06-01 22:00:00,temperature,NORMAL,20.859,20.859,0.0,False
S001,2026-06-01 22:05:00,temperature,NORMAL,20.717,20.717,0.0,False
S001,2026-06-01 22:10:00,temperature,NORMAL,20.575,20.575,0.0,False
S001,2026-06-01 22:15:00,temperature,NORMAL,20.435,20.435,0.0,False
S001,2026-06-01 22:20:00,temperature,NORMAL,20.297,20.297,0.0,False
S001,2026-06-01 22:25:00,temperature,GAUSSIAN_NOISE,20.159,22.109,1.95,True
S001,2026-06-01 22:30:00,temperature,NORMAL,20.024,20.024,0.0,False
S001,2026-06-01 22:35:00,temperature,NORMAL,19.89,19.89,0.0,False
S001,2026-06-01 22:40:00,temperature,NORMAL,19.757,19.757,0.0,False
S001,2026-06-01 22:45:00,temperature,NORMAL,19.626,19.626,0.0,False
S001,2026-06-01 22:50:00,temperature,NORMAL,19.497,19.497,0.0,False
S001,2026-06-01 22:55:00,temperature,NORMAL,19.37,19.37,0.0,False
S001,2026-06-01 23:00:00,temperature,NORMAL,19.244,19.244,0.0,False
S001,2026-06-01 23:05:00,temperature,NORMAL,19.12,19.12,0.0,False
S001,2026-06-01 23:10:00,temperature,NORMAL,18.998,18.998,0.0,False
S001,2026-06-01 23:15:00,temperature,NORMAL,18.878,18.878,0.0,False
S001,2026-06-01 23:20:00,temperature,GAUSSIAN_NOISE,18.761,20.125,1.364,True
S001,2026-06-01 23:25:00,temperature,NORMAL,18.645,18.645,0.0,False
S001,2026-06-01 23:30:00,temperature,NORMAL,18.531,18.531,0.0,False
S001,2026-06-01 23:35:00,temperature,NORMAL,18.419,18.419,0.0,False
S001,2026-06-01 23:40:00,temperature,NORMAL,18.31,18.31,0.0,False
S001,2026-06-01 23:45:00,temperature,NORMAL,18.202,18.202,0.0,False
S001,2026-06-01 23:50:00,temperature,GAUSSIAN_NOISE,18.097,21.379,3.282,True
S001,2026-06-01 23:55:00,temperature,NORMAL,17.995,17.995,0.0,False
S002,2026-06-01 00:00:00,temperature,NORMAL,18.017,18.017,0.0,False
S002,2026-06-01 00:05:00,temperature,NORMAL,17.919,17.919,0.0,False
S002,2026-06-01 00:10:00,temperature,NORMAL,17.823,17.823,0.0,False
S002,2026-06-01 00:15:00,temperature,NORMAL,17.73,17.73,0.0,False
S002,2026-06-01 00:20:00,temperature,NORMAL,17.639,17.639,0.0,False
S002,2026-06-01 00:25:00,temperature,NORMAL,17.551,17.551,0.0,False
S002,2026-06-01 00:30:00,temperature,NORMAL,17.465,17.465,0.0,False
S002,2026-06-01 00:35:00,temperature,NORMAL,17.382,17.382,0.0,False
S002,2026-06-01 00:40:00,temperature,NORMAL,17.301,17.301,0.0,False
S002,2026-06-01 00:45:00,temperature,MISSING,17.223,,,True
S002,2026-06-01 00:50:00,temperature,NORMAL,17.148,17.148,0.0,False
S002,2026-06-01 00:55:00,temperature,NORMAL,17.075,17.075,0.0,False
S002,2026-06-01 01:00:00,temperature,NORMAL,17.005,17.005,0.0,False
S002,2026-06-01 01:05:00,temperature,NORMAL,16.937,16.937,0.0,False
S002,2026-06-01 01:10:00,temperature,NORMAL,16.873,16.873,0.0,False
S002,2026-06-01 01:15:00,temperature,NORMAL,16.811,16.811,0.0,False
S002,2026-06-01 01:20:00,temperature,NORMAL,16.751,16.751,0.0,False
S002,2026-06-01 01:25:00,temperature,NORMAL,16.695,16.695,0.0,False
S002,2026-06-01 01:30:00,temperature,NORMAL,16.641,16.641,0.0,False
S002,2026-06-01 01:35:00,temperature,NORMAL,16.59,16.59,0.0,False
S002,2026-06-01 01:40:00,temperature,NORMAL,16.542,16.542,0.0,False
S002,2026-06-01 01:45:00,temperature,NORMAL,16.497,16.497,0.0,False
S002,2026-06-01 01:50:00,temperature,NORMAL,16.455,16.455,0.0,False
S002,2026-06-01 01:55:00,temperature,NORMAL,16.415,16.415,0.0,False
S002,2026-06-01 02:00:00,temperature,NORMAL,16.379,16.379,0.0,False
S002,2026-06-01 02:05:00,temperature,NORMAL,16.345,16.345,0.0,False
S002,2026-06-01 02:10:00,temperature,NORMAL,16.314,16.314,0.0,False
S002,2026-06-01 02:15:00,temperature,NORMAL,16.286,16.286,0.0,False
S002,2026-06-01 02:20:00,temperature,NORMAL,16.261,16.261,0.0,False
S002,2026-06-01 02:25:00,temperature,NORMAL,16.239,16.239,0.0,False
S002,2026-06-01 02:30:00,temperature,NORMAL,16.22,16.22,0.0,False
S002,2026-06-01 02:35:00,temperature,NORMAL,16.204,16.204,0.0,False
S002,2026-06-01 02:40:00,temperature,NORMAL,16.191,16.191,0.0,False
S002,2026-06-01 02:45:00,temperature,NORMAL,16.18,16.18,0.0,False
S002,2026-06-01 02:50:00,temperature,NORMAL,16.173,16.173,0.0,False
S002,2026-06-01 02:55:00,temperature,NORMAL,16.168,16.168,0.0,False
S002,2026-06-01 03:00:00,temperature,NORMAL,16.167,16.167,0.0,False
S002,2026-06-01 03:05:00,temperature,NORMAL,16.168,16.168,0.0,False
S002,2026-06-01 03:10:00,temperature,NORMAL,16.173,16.173,0.0,False
S002,2026-06-01 03:15:00,temperature,NORMAL,16.18,16.18,0.0,False
S002,2026-06-01 03:20:00,temperature,NORMAL,16.191,16.191,0.0,False
S002,2026-06-01 03:25:00,temperature,NORMAL,16.204,16.204,0.0,False
S002,2026-06-01 03:30:00,temperature,NORMAL,16.22,16.22,0.0,False
S002,2026-06-01 03:35:00,temperature,NORMAL,16.239,16.239,0.0,False
S002,2026-06-01 03:40:00,temperature,NORMAL,16.261,16.261,0.0,False
S002,2026-06-01 03:45:00,temperature,NORMAL,16.286,16.286,0.0,False
S002,2026-06-01 03:50:00,temperature,NORMAL,16.314,16.314,0.0,False
S002,2026-06-01 03:55:00,temperature,NORMAL,16.345,16.345,0.0,False
S002,2026-06-01 04:00:00,temperature,NORMAL,16.379,16.379,0.0,False
S002,2026-06-01 04:05:00,temperature,NORMAL,16.415,16.415,0.0,False
S002,2026-06-01 04:10:00,temperature,NORMAL,16.455,16.455,0.0,False
S002,2026-06-01 04:15:00,temperature,NORMAL,16.497,16.497,0.0,False
S002,2026-06-01 04:20:00,temperature,NORMAL,16.542,16.542,0.0,False
S002,2026-06-01 04:25:00,temperature,NORMAL,16.59,16.59,0.0,False
S002,2026-06-01 04:30:00,temperature,NORMAL,16.641,16.641,0.0,False
S002,2026-06-01 04:35:00,temperature,NORMAL,16.695,16.695,0.0,False
S002,2026-06-01 04:40:00,temperature,NORMAL,16.751,16.751,0.0,False
